BlockID,Date,Time,Meters,Cars,
12,Saturday,4,2,1,
13,Saturday,4,4,3,
14,Saturday,4,5,4,
15,Saturday,4,4,2,
16,Saturday,4,5,1,
17,Saturday,4,3,1,
18,Saturday,4,4,2,
19,Saturday,4,4,2,
20,Saturday,4,10,4,
21,Saturday,4,4,3,
22,Saturday,4,9,3,
23,Saturday,4,5,4,
24,Saturday,4,3,3,
25,Saturday,4,4,4,
26,Saturday,4,14,14,
27,Saturday,4,6,5,
28,Saturday,4,6,4,
29,Saturday,4,4,4,
30,Saturday,4,77,63,
31,Saturday,4,5,5,
32,Saturday,4,11,10,
33,Saturday,4,2,2,
34,Saturday,4,4,4,
35,Saturday,4,3,3,
36,Saturday,4,47,27,
37,Saturday,4,4,4,
1,Saturday,5,2,1,
2,Saturday,5,6,6,
3,Saturday,5,6,6,
4,Saturday,5,3,2,
5,Saturday,5,7,7,
6,Saturday,5,2,1,
7,Saturday,5,3,3,
8,Saturday,5,5,4,
9,Saturday,5,2,2,
10,Saturday,5,3,3,
11,Saturday,5,5,5,
12,Saturday,5,2,0,
13,Saturday,5,4,3,
14,Saturday,5,5,5,
15,Saturday,5,4,4,
16,Saturday,5,5,2,
17,Saturday,5,3,1,
18,Saturday,5,4,0,
19,Saturday,5,4,1,
20,Saturday,5,10,6,
21,Saturday,5,4,4,
22,Saturday,5,9,4,
23,Saturday,5,5,4,
24,Saturday,5,3,3,
25,Saturday,5,4,3,
26,Saturday,5,14,13,
27,Saturday,5,6,3,
28,Saturday,5,6,6,
29,Saturday,5,4,4,
30,Saturday,5,77,53,
31,Saturday,5,5,4,
32,Saturday,5,11,11,
33,Saturday,5,2,2,
34,Saturday,5,4,4,
35,Saturday,5,3,3,
36,Saturday,5,47,23,
37,Saturday,5,4,3,
1,Saturday,6,2,1,
2,Saturday,6,6,6,
3,Saturday,6,6,6,
4,Saturday,6,3,3,
5,Saturday,6,7,7,
6,Saturday,6,2,2,
7,Saturday,6,3,3,
8,Saturday,6,5,5,
9,Saturday,6,2,2,
10,Saturday,6,3,3,
11,Saturday,6,5,5,
12,Saturday,6,2,1,
13,Saturday,6,4,3,
14,Saturday,6,5,5,
15,Saturday,6,4,4,
16,Saturday,6,5,2,
17,Saturday,6,3,3,
18,Saturday,6,4,3,
19,Saturday,6,4,4,
20,Saturday,6,10,8,
21,Saturday,6,4,4,
22,Saturday,6,9,9,
23,Saturday,6,5,5,
24,Saturday,6,3,3,
25,Saturday,6,4,4,
26,Saturday,6,14,14,
27,Saturday,6,6,6,
28,Saturday,6,6,5,
29,Saturday,6,4,4,
30,Saturday,6,77,72,
31,Saturday,6,5,5,
32,Saturday,6,11,11,
33,Saturday,6,2,2,
34,Saturday,6,4,4,
35,Saturday,6,3,3,
36,Saturday,6,47,34,
37,Saturday,6,4,4,
1,Saturday,7,2,2,
2,Saturday,7,6,6,
3,Saturday,7,6,6,
4,Saturday,7,3,3,
5,Saturday,7,7,7,
6,Saturday,7,2,2,
7,Saturday,7,3,3,
8,Saturday,7,5,5,
9,Saturday,7,2,2,
10,Saturday,7,3,3,
11,Saturday,7,5,5,
12,Saturday,7,2,2,
13,Saturday,7,4,4,
14,Saturday,7,5,5,
15,Saturday,7,4,4,
16,Saturday,7,5,5,
17,Saturday,7,3,3,
18,Saturday,7,4,4,
19,Saturday,7,4,4,
20,Saturday,7,10,9,
21,Saturday,7,4,4,
22,Saturday,7,9,9,
23,Saturday,7,5,5,
24,Saturday,7,3,3,
25,Saturday,7,4,4,
26,Saturday,7,14,13,
27,Saturday,7,6,6,
28,Saturday,7,6,6,
29,Saturday,7,4,4,
30,Saturday,7,77,77,
31,Saturday,7,5,5,
32,Saturday,7,11,11,
33,Saturday,7,2,2,
34,Saturday,7,4,4,
35,Saturday,7,3,3,
36,Saturday,7,47,47,
37,Saturday,7,4,4,
38,Thursday,4,292,186,
38,Thursday,5,292,98,
38,Thursday,6,292,93,
38,Thursday,7,292,95,
38,Friday,4,292,98,
38,Friday,5,292,84,
38,Friday,6,292,107,
38,Friday,7,292,146,
38,Saturday,4,292,100,
38,Saturday,5,292,91,
38,Saturday,6,292,114,
38,Saturday,7,292,148,
